Blood group antigen proteins	CD markers	Cancer-related genes	Candidate cardiovascular disease genes	Citric acid cycle related proteins	Disease related genes	Enzymes	FDA approved drug targets	G-protein coupled receptors	Nuclear receptors	Plasma proteins	Potential drug targets	Predicted intracellular proteins	Predicted membrane proteins	Predicted secreted proteins	RAS pathway related proteins	RNA polymerase related proteins	Ribosomal proteins	Transcription factors	Transporters	Voltage-gated ion channels
2	11	50	2	0	100	82	15	14	2	75	25	371	145	62	7	1	3	27	34	1
1	9	39	0	0	83	95	20	19	1	86	33	367	136	75	7	0	4	42	39	3
0	9	41	6	1	116	84	22	17	0	102	34	371	136	74	8	0	4	32	45	7
0	5	46	4	0	93	96	16	22	0	94	27	386	130	70	5	1	6	36	25	3
1	6	33	4	0	95	77	22	26	1	97	28	373	131	82	6	0	6	35	32	4
0	8	45	11	1	98	105	13	18	0	104	31	378	134	58	9	1	4	31	26	5
1	9	47	1	1	95	81	17	16	1	86	28	361	133	62	5	2	5	36	34	7
0	9	43	2	0	87	85	16	16	2	96	32	373	115	79	7	0	5	40	31	2
0	8	42	8	1	75	94	16	23	1	93	29	381	137	62	6	2	5	28	32	2
2	9	42	6	1	106	93	17	16	1	103	37	365	139	80	8	1	3	42	39	3
0	11	55	3	0	94	83	11	20	1	90	38	380	134	78	3	2	6	37	33	5
0	8	37	4	3	99	93	17	13	0	87	31	368	141	80	10	0	3	32	28	3
0	7	34	6	0	91	88	20	18	0	91	30	389	123	68	3	2	9	36	34	2
0	10	46	3	1	110	88	13	21	1	91	39	353	153	81	7	2	2	35	36	3
0	9	36	6	1	83	75	20	17	1	82	28	392	129	51	1	2	7	40	33	3
0	8	51	3	1	109	98	11	16	0	80	45	361	137	80	5	0	4	42	44	4
0	8	46	2	0	85	85	13	22	0	98	25	375	139	72	5	1	8	35	27	5
0	7	30	0	0	84	84	18	18	2	83	37	377	151	66	6	0	11	37	38	4
3	10	39	2	1	90	99	15	26	1	83	29	380	143	53	5	0	4	40	33	5
